v1,v2,edge_name,edge_color,travel_seconds
SAN BERNARDO (LINE 2),QUEVEDO,2,#ED1C24,191
QUEVEDO,SAN BERNARDO (LINE 2),2,#ED1C24,191
SEVILLA,SOL (LINE 2),2,#ED1C24,200
SOL (LINE 2),SEVILLA,2,#ED1C24,200
SANTO DOMINGO,NOVICIADO,2,#ED1C24,204
NOVICIADO,SANTO DOMINGO,2,#ED1C24,204
MONCLOA (LINE 3),ARGÜELLES (LINE 3),3,#FFD000,205
ARGÜELLES (LINE 3),MONCLOA (LINE 3),3,#FFD000,205
VENTURA RODRIGUEZ,PLAZA DE ESPAÑA (LINE 3),3,#FFD000,209
PLAZA DE ESPAÑA (LINE 3),VENTURA RODRIGUEZ,3,#FFD000,209
SERRANO,VELAZQUEZ,4,#B65518,209
VELAZQUEZ,SERRANO,4,#B65518,209
GOYA (LINE 2),PRINCIPE DE VERGARA (LINE 2),2,#ED1C24,211
PRINCIPE DE VERGARA (LINE 2),GOYA (LINE 2),2,#ED1C24,211
COLON,ALONSO MARTINEZ (LINE 4),4,#B65518,211
ALONSO MARTINEZ (LINE 4),COLON,4,#B65518,211
CALLAO (LINE 3),SOL (LINE 3),3,#FFD000,212
SOL (LINE 3),CALLAO (LINE 3),3,#FFD000,212
OPERA (LINE 2),SANTO DOMINGO,2,#ED1C24,213
BILBAO (LINE 4),SAN BERNARDO (LINE 4),4,#B65518,213
SAN BERNARDO (LINE 4),BILBAO (LINE 4),4,#B65518,213
SANTO DOMINGO,OPERA (LINE 2),2,#ED1C24,213
EMBAJADORES,LAVAPIES,3,#FFD000,214
LAVAPIES,EMBAJADORES,3,#FFD000,214
VENTURA RODRIGUEZ,ARGÜELLES (LINE 3),3,#FFD000,215
CALLAO (LINE 5),GRAN VIA (LINE 5),5,#8FD400,215
ARGÜELLES (LINE 3),VENTURA RODRIGUEZ,3,#FFD000,215
ALONSO MARTINEZ (LINE 10),TRIBUNAL (LINE 10),10,#005AA9,215
GRAN VIA (LINE 5),CALLAO (LINE 5),5,#8FD400,215
TRIBUNAL (LINE 10),ALONSO MARTINEZ (LINE 10),10,#005AA9,215
SEVILLA,BANCO DE ESPAÑA,2,#ED1C24,217
BANCO DE ESPAÑA,SEVILLA,2,#ED1C24,217
LAS MUSAS,ESTADIO OLIMPICO,7,#EE7518,218
PALOS DE LA FRONTERA,DELICIAS,3,#FFD000,218
DELICIAS,PALOS DE LA FRONTERA,3,#FFD000,218
ESTADIO OLIMPICO,LAS MUSAS,7,#EE7518,218
BILBAO (LINE 4),ALONSO MARTINEZ (LINE 4),4,#B65518,220
ALONSO MARTINEZ (LINE 4),BILBAO (LINE 4),4,#B65518,220
OPERA (LINE 2),SOL (LINE 2),2,#ED1C24,221
SOL (LINE 2),OPERA (LINE 2),2,#ED1C24,221
CANAL (LINE 7),ALONSO CANO,7,#EE7518,224
ALONSO CANO,CANAL (LINE 7),7,#EE7518,224
TRES OLIVOS,FUENCARRAL,10,#005AA9,225
FUENCARRAL,TRES OLIVOS,10,#005AA9,225
RETIRO,PRINCIPE DE VERGARA (LINE 2),2,#ED1C24,228
HOSPITAL 12 DE OCTUBRE,SAN FERMIN-ORCASUR,3,#FFD000,228
MAR DE CRISTAL (LINE 4),SAN LORENZO,4,#B65518,228
SAN FERMIN-ORCASUR,HOSPITAL 12 DE OCTUBRE,3,#FFD000,228
PRINCIPE DE VERGARA (LINE 2),RETIRO,2,#ED1C24,228
SAN LORENZO,MAR DE CRISTAL (LINE 4),4,#B65518,228
CALLAO (LINE 3),PLAZA DE ESPAÑA (LINE 3),3,#FFD000,229
GOYA (LINE 4),VELAZQUEZ,4,#B65518,229
PLAZA DE ESPAÑA (LINE 3),CALLAO (LINE 3),3,#FFD000,229
PLAZA DE ESPAÑA (LINE 10),TRIBUNAL (LINE 10),10,#005AA9,229
VELAZQUEZ,GOYA (LINE 4),4,#B65518,229
TRIBUNAL (LINE 10),PLAZA DE ESPAÑA (LINE 10),10,#005AA9,229
SERRANO,COLON,4,#B65518,230
COLON,SERRANO,4,#B65518,230
CAMPAMENTO,EMPALME,5,#8FD400,232
EMPALME,CAMPAMENTO,5,#8FD400,232
PUERTA DEL SUR (LINE 10),JOAQUIN VILUMBRALES,10,#005AA9,233
AVENIDA DE AMERICA (LINE 4),DIEGO DE LEON (LINE 4),4,#B65518,233
DIEGO DE LEON (LINE 4),AVENIDA DE AMERICA (LINE 4),4,#B65518,233
JOAQUIN VILUMBRALES,PUERTA DEL SUR (LINE 10),10,#005AA9,233
MANOTERAS,PINAR DE CHAMARTIN (LINE 4),4,#B65518,237
PINAR DE CHAMARTIN (LINE 4),MANOTERAS,4,#B65518,237
CALLAO (LINE 5),OPERA (LINE 5),5,#8FD400,238
OPERA (LINE 5),CALLAO (LINE 5),5,#8FD400,238
CHUECA,GRAN VIA (LINE 5),5,#8FD400,239
GRAN VIA (LINE 5),CHUECA,5,#8FD400,239
VENTAS (LINE 2),MANUEL BECERRA (LINE 2),2,#ED1C24,240
MANUEL BECERRA (LINE 2),VENTAS (LINE 2),2,#ED1C24,240
GOYA (LINE 4),LISTA,4,#B65518,241
LISTA,GOYA (LINE 4),4,#B65518,241
LISTA,DIEGO DE LEON (LINE 4),4,#B65518,241
DIEGO DE LEON (LINE 4),LISTA,4,#B65518,241
GREGORIO MARAÑON (LINE 7),ALONSO CANO,7,#EE7518,242
GOYA (LINE 2),MANUEL BECERRA (LINE 2),2,#ED1C24,242
NUEVOS MINISTERIOS (LINE 10),SANTIAGO BERNABEU,10,#005AA9,242
MANUEL BECERRA (LINE 2),GOYA (LINE 2),2,#ED1C24,242
SANTIAGO BERNABEU,NUEVOS MINISTERIOS (LINE 10),10,#005AA9,242
ALONSO CANO,GREGORIO MARAÑON (LINE 7),7,#EE7518,242
ATOCHA,ATOCHA-RENFE,1,#2DBEF0,243
ATOCHA-RENFE,ATOCHA,1,#2DBEF0,243
CUZCO,SANTIAGO BERNABEU,10,#005AA9,243
SANTIAGO BERNABEU,CUZCO,10,#005AA9,243
QUINTANA,PUEBLO NUEVO (LINE 5),5,#8FD400,244
PUEBLO NUEVO (LINE 5),QUINTANA,5,#8FD400,244
GRAN VIA (LINE 1),SOL (LINE 1),1,#2DBEF0,245
SOL (LINE 1),GRAN VIA (LINE 1),1,#2DBEF0,245
PIRAMIDES,ACACIAS,5,#8FD400,246
ACACIAS,PIRAMIDES,5,#8FD400,246
MONTECARMELO,TRES OLIVOS,10,#005AA9,247
ANTONIO MACHADO,PEÑAGRANDE,7,#EE7518,247
PEÑAGRANDE,ANTONIO MACHADO,7,#EE7518,247
SAN BERNARDO (LINE 2),NOVICIADO,2,#ED1C24,247
TRES OLIVOS,MONTECARMELO,10,#005AA9,247
CIUDAD LINEAL,PUEBLO NUEVO (LINE 5),5,#8FD400,247
NOVICIADO,SAN BERNARDO (LINE 2),2,#ED1C24,247
PUEBLO NUEVO (LINE 5),CIUDAD LINEAL,5,#8FD400,247
VICALVARO,SAN CIPRIANO,9,#A60084,248
SAN CIPRIANO,VICALVARO,9,#A60084,248
GREGORIO MARAÑON (LINE 10),NUEVOS MINISTERIOS (LINE 10),10,#005AA9,249
NUEVOS MINISTERIOS (LINE 10),GREGORIO MARAÑON (LINE 10),10,#005AA9,249
LA GAVIA,LAS SUERTES,1,#2DBEF0,250
LAS SUERTES,LA GAVIA,1,#2DBEF0,250
PLAZA DE CASTILLA (LINE 1),CHAMARTIN (LINE 1),1,#2DBEF0,251
PLAZA DE CASTILLA (LINE 10),CHAMARTIN (LINE 10),10,#005AA9,251
CHAMARTIN (LINE 1),PLAZA DE CASTILLA (LINE 1),1,#2DBEF0,251
CHAMARTIN (LINE 10),PLAZA DE CASTILLA (LINE 10),10,#005AA9,251
AVENIDA DE LA PAZ,ALFONSO XIII,4,#B65518,252
MAR DE CRISTAL (LINE 4),CANILLAS,4,#B65518,252
CANILLAS,MAR DE CRISTAL (LINE 4),4,#B65518,252
ALFONSO XIII,AVENIDA DE LA PAZ,4,#B65518,252
CARABANCHEL,EUGENIA DE MONTIJO,5,#8FD400,252
EUGENIA DE MONTIJO,CARABANCHEL,5,#8FD400,252
LA LATINA,PUERTA DE TOLEDO,5,#8FD400,253
PUERTA DE TOLEDO,LA LATINA,5,#8FD400,253
CARTAGENA,PARQUE DE LAS AVENIDAS,7,#EE7518,254
PLAZA DE CASTILLA (LINE 10),CUZCO,10,#005AA9,254
CUZCO,PLAZA DE CASTILLA (LINE 10),10,#005AA9,254
CUATRO CAMINOS (LINE 2),CANAL (LINE 2),2,#ED1C24,254
CANAL (LINE 2),CUATRO CAMINOS (LINE 2),2,#ED1C24,254
ASCAO,PUEBLO NUEVO (LINE 7),7,#EE7518,254
PUEBLO NUEVO (LINE 7),ASCAO,7,#EE7518,254
PARQUE DE LAS AVENIDAS,CARTAGENA,7,#EE7518,254
QUEVEDO,CANAL (LINE 2),2,#ED1C24,255
CANAL (LINE 2),QUEVEDO,2,#ED1C24,255
CARTAGENA,AVENIDA DE AMERICA (LINE 7),7,#EE7518,256
AVENIDA DE AMERICA (LINE 7),CARTAGENA,7,#EE7518,256
PRINCIPE PIO (LINE 10),PLAZA DE ESPAÑA (LINE 10),10,#005AA9,257
DELICIAS,LEGAZPI (LINE 3),3,#FFD000,257
PLAZA DE ESPAÑA (LINE 10),PRINCIPE PIO (LINE 10),10,#005AA9,257
LEGAZPI (LINE 3),DELICIAS,3,#FFD000,257
EMBAJADORES,PALOS DE LA FRONTERA,3,#FFD000,258
PALOS DE LA FRONTERA,EMBAJADORES,3,#FFD000,258
BATAN,CASA DE CAMPO (LINE 10),10,#005AA9,258
CASA DE CAMPO (LINE 10),BATAN,10,#005AA9,258
ISLAS FILIPINAS,CANAL (LINE 7),7,#EE7518,259
RETIRO,BANCO DE ESPAÑA,2,#ED1C24,259
BANCO DE ESPAÑA,RETIRO,2,#ED1C24,259
VISTA ALEGRE,CARABANCHEL,5,#8FD400,259
